,full_date,tm_event_name,count,20161,20162,20163,20164,20165,20171,20172,20173,20174,20175
1,10/29/2016,ENK1029E,1203,1203,1233,1292,991,2016,,,,,
2,10/28/2016,ENK1029E,816,816,875,839,848,283,,,,,
3,10/27/2016,ENK1029E,747,747,630,480,530,356,,,,,
4,10/26/2016,ENK1029E,466,466,388,258,364,318,,,,,
5,10/25/2016,ENK1029E,563,563,327,167,392,374,,,,,
6,10/24/2016,ENK1029E,499,499,222,220,342,161,,,,,
7,10/23/2016,ENK1029E,218,218,297,153,220,159,,,,,
8,10/22/2016,ENK1029E,222,222,394,237,216,196,,,,,
9,10/21/2016,ENK1029E,200,200,275,218,174,171,,,,,
10,10/20/2016,ENK1029E,84,84,195,160,211,196,,,,,
11,10/19/2016,ENK1029E,95,95,230,140,138,187,,,,,
12,10/18/2016,ENK1029E,96,96,166,93,105,324,58,,,,
13,10/17/2016,ENK1029E,118,118,115,148,213,142,77,,,,
14,10/16/2016,ENK1029E,76,76,142,112,110,126,39,,,,
15,10/15/2016,ENK1029E,60,60,96,124,82,137,46,,,,
16,10/14/2016,ENK1029E,50,50,100,118,66,137,48,,,,
17,10/13/2016,ENK1029E,129,129,82,127,88,64,23,,,,
18,10/12/2016,ENK1029E,156,156,68,96,82,158,55,78,,,
19,10/11/2016,ENK1029E,197,197,64,72,192,150,85,59,,,
20,10/10/2016,ENK1029E,98,98,123,114,52,193,33,49,,,
21,10/9/2016,ENK1029E,60,60,184,80,94,94,38,38,33,,
22,10/8/2016,ENK1029E,78,78,194,128,82,156,19,50,43,44,
23,10/7/2016,ENK1029E,99,99,91,112,60,116,33,59,61,26,
24,10/6/2016,ENK1029E,101,101,82,101,66,60,32,67,21,49,63
25,10/5/2016,ENK1029E,104,104,132,62,112,102,27,77,42,29,21
26,10/4/2016,ENK1029E,84,84,110,38,126,98,32,66,19,24,28
27,10/3/2016,ENK1029E,76,76,110,72,156,110,14,78,41,30,15
28,10/2/2016,ENK1029E,17,17,105,84,60,144,37,73,64,34,39
29,10/1/2016,ENK1029E,26,26,146,118,70,110,29,98,59,68,22
30,9/30/2016,ENK1029E,42,42,166,110,48,120,25,68,65,20,21
31,9/29/2016,ENK1029E,34,12505,12846,13001,11464,12469,8540,10228,9933,9740,9713
32,9/28/2016,ENK1029E,96,,,,,,,,,,
33,9/27/2016,ENK1029E,485,,,,,,,,,,
34,9/26/2016,ENK1029E,124,,,,,,,,,,
35,9/25/2016,ENK1029E,50,,,,,,,,,,
36,9/24/2016,ENK1029E,54,,,,,,,,,,
37,9/23/2016,ENK1029E,181,,,,,,,,,,
38,9/22/2016,ENK1029E,308,,,,,,,,,,
39,9/21/2016,ENK1029E,147,,,,,,,,,,
40,9/20/2016,ENK1029E,700,,,,,,,,,,
41,9/19/2016,ENK1029E,29,,,,,,,,,,
42,9/18/2016,ENK1029E,2,,,,,,,,,,
43,9/17/2016,ENK1029E,2,,,,,,,,,,
44,9/16/2016,ENK1029E,26,,,,,,,,,,
45,9/15/2016,ENK1029E,60,,,,,,,,,,
46,9/14/2016,ENK1029E,56,,,,,,,,,,
47,9/13/2016,ENK1029E,59,,,,,,,,,,
48,9/12/2016,ENK1029E,34,,,,,,,,,,
49,9/11/2016,ENK1029E,2,,,,,,,,,,
50,9/10/2016,ENK1029E,2,,,,,,,,,,
51,9/9/2016,ENK1029E,50,,,,,,,,,,
52,9/8/2016,ENK1029E,66,,,,,,,,,,
53,9/7/2016,ENK1029E,88,,,,,,,,,,
54,9/6/2016,ENK1029E,49,,,,,,,,,,
55,9/5/2016,ENK1029E,2,,,,,,,,,,
56,9/3/2016,ENK1029E,2,,,,,,,,,,
57,9/2/2016,ENK1029E,24,,,,,,,,,,
58,9/1/2016,ENK1029E,58,,,,,,,,,,
59,8/31/2016,ENK1029E,31,,,,,,,,,,
60,8/30/2016,ENK1029E,58,,,,,,,,,,
61,8/29/2016,ENK1029E,74,,,,,,,,,,
62,8/27/2016,ENK1029E,10,,,,,,,,,,
63,8/26/2016,ENK1029E,30,,,,,,,,,,
64,8/25/2016,ENK1029E,17,,,,,,,,,,
65,8/24/2016,ENK1029E,63,,,,,,,,,,
66,8/23/2016,ENK1029E,8,,,,,,,,,,
67,8/19/2016,ENK1029E,8,,,,,,,,,,
68,8/18/2016,ENK1029E,13,,,,,,,,,,
69,8/17/2016,ENK1029E,10,,,,,,,,,,
70,8/16/2016,ENK1029E,6,,,,,,,,,,
71,8/15/2016,ENK1029E,8,,,,,,,,,,
72,8/12/2016,ENK1029E,10,,,,,,,,,,
73,8/11/2016,ENK1029E,12,,,,,,,,,,
74,8/10/2016,ENK1029E,11,,,,,,,,,,
75,8/9/2016,ENK1029E,8,,,,,,,,,,
76,8/8/2016,ENK1029E,10,,,,,,,,,,
77,8/7/2016,ENK1029E,2,,,,,,,,,,
78,8/6/2016,ENK1029E,2,,,,,,,,,,
79,8/5/2016,ENK1029E,16,,,,,,,,,,
80,8/4/2016,ENK1029E,18,,,,,,,,,,
81,8/3/2016,ENK1029E,14,,,,,,,,,,
82,8/2/2016,ENK1029E,12,,,,,,,,,,
83,8/1/2016,ENK1029E,44,,,,,,,,,,
84,7/31/2016,ENK1029E,2,,,,,,,,,,
85,7/30/2016,ENK1029E,2,,,,,,,,,,
86,7/29/2016,ENK1029E,40,,,,,,,,,,
87,7/28/2016,ENK1029E,27,,,,,,,,,,
88,7/27/2016,ENK1029E,48,,,,,,,,,,
89,7/26/2016,ENK1029E,20,,,,,,,,,,
90,7/25/2016,ENK1029E,31,,,,,,,,,,
91,7/22/2016,ENK1029E,34,,,,,,,,,,
92,7/21/2016,ENK1029E,29,,,,,,,,,,
93,7/20/2016,ENK1029E,4,,,,,,,,,,
94,7/19/2016,ENK1029E,17,,,,,,,,,,
95,7/18/2016,ENK1029E,28,,,,,,,,,,
96,7/15/2016,ENK1029E,18,,,,,,,,,,
97,7/14/2016,ENK1029E,16,,,,,,,,,,
98,7/13/2016,ENK1029E,22,,,,,,,,,,
99,7/12/2016,ENK1029E,32,,,,,,,,,,
100,7/11/2016,ENK1029E,24,,,,,,,,,,
101,7/10/2016,ENK1029E,2,,,,,,,,,,
102,7/8/2016,ENK1029E,36,,,,,,,,,,
103,7/7/2016,ENK1029E,27,,,,,,,,,,
104,7/6/2016,ENK1029E,43,,,,,,,,,,
105,7/5/2016,ENK1029E,44,,,,,,,,,,
106,7/4/2016,ENK1029E,2,,,,,,,,,,
107,7/3/2016,ENK1029E,16,,,,,,,,,,
108,7/2/2016,ENK1029E,2,,,,,,,,,,
109,7/1/2016,ENK1029E,35,,,,,,,,,,
110,6/30/2016,ENK1029E,59,,,,,,,,,,
111,6/29/2016,ENK1029E,64,,,,,,,,,,
112,6/28/2016,ENK1029E,182,,,,,,,,,,
113,6/27/2016,ENK1029E,37,,,,,,,,,,
114,6/25/2016,ENK1029E,2,,,,,,,,,,
115,6/24/2016,ENK1029E,61,,,,,,,,,,
116,6/23/2016,ENK1029E,65,,,,,,,,,,
117,6/22/2016,ENK1029E,76,,,,,,,,,,
118,6/21/2016,ENK1029E,34,,,,,,,,,,
119,6/20/2016,ENK1029E,12,,,,,,,,,,
120,6/18/2016,ENK1029E,8,,,,,,,,,,
121,6/17/2016,ENK1029E,17,,,,,,,,,,
122,6/16/2016,ENK1029E,29,,,,,,,,,,
123,6/15/2016,ENK1029E,76,,,,,,,,,,
124,6/14/2016,ENK1029E,36,,,,,,,,,,
125,6/13/2016,ENK1029E,28,,,,,,,,,,
126,6/10/2016,ENK1029E,38,,,,,,,,,,
127,6/9/2016,ENK1029E,106,,,,,,,,,,
128,6/8/2016,ENK1029E,21,,,,,,,,,,
129,6/7/2016,ENK1029E,70,,,,,,,,,,
130,6/6/2016,ENK1029E,621,,,,,,,,,,
131,6/5/2016,ENK1029E,16,,,,,,,,,,
132,6/4/2016,ENK1029E,12,,,,,,,,,,
133,6/3/2016,ENK1029E,360,,,,,,,,,,
134,6/2/2016,ENK1029E,233,,,,,,,,,,
135,6/1/2016,ENK1029E,14,,,,,,,,,,
136,5/31/2016,ENK1029E,22,,,,,,,,,,
137,5/26/2016,ENK1029E,18,,,,,,,,,,
138,5/25/2016,ENK1029E,30,,,,,,,,,,
139,5/24/2016,ENK1029E,24,,,,,,,,,,
140,5/23/2016,ENK1029E,11,,,,,,,,,,
141,5/21/2016,ENK1029E,8,,,,,,,,,,
142,5/20/2016,ENK1029E,4,,,,,,,,,,
143,5/19/2016,ENK1029E,20,,,,,,,,,,
144,5/18/2016,ENK1029E,25,,,,,,,,,,
145,5/17/2016,ENK1029E,78,,,,,,,,,,
146,5/16/2016,ENK1029E,33,,,,,,,,,,
147,5/13/2016,ENK1029E,52,,,,,,,,,,
148,5/12/2016,ENK1029E,115,,,,,,,,,,
149,5/11/2016,ENK1029E,44,,,,,,,,,,
150,5/10/2016,ENK1029E,99,,,,,,,,,,
151,5/9/2016,ENK1029E,116,,,,,,,,,,
152,5/8/2016,ENK1029E,6,,,,,,,,,,
153,5/7/2016,ENK1029E,40,,,,,,,,,,
154,5/6/2016,ENK1029E,873,,,,,,,,,,
155,5/5/2016,ENK1029E,686,,,,,,,,,,
156,5/4/2016,ENK1029E,298,,,,,,,,,,
157,5/3/2016,ENK1029E,398,,,,,,,,,,
158,5/2/2016,ENK1029E,275,,,,,,,,,,
159,5/1/2016,ENK1029E,104,,,,,,,,,,
160,4/30/2016,ENK1029E,38,,,,,,,,,,
161,4/29/2016,ENK1029E,219,,,,,,,,,,
162,4/28/2016,ENK1029E,234,,,,,,,,,,
163,4/27/2016,ENK1029E,185,,,,,,,,,,
164,4/26/2016,ENK1029E,144,,,,,,,,,,
165,4/25/2016,ENK1029E,163,,,,,,,,,,
166,4/24/2016,ENK1029E,32,,,,,,,,,,
167,4/23/2016,ENK1029E,17,,,,,,,,,,
168,4/22/2016,ENK1029E,81,,,,,,,,,,
169,4/21/2016,ENK1029E,110,,,,,,,,,,
170,4/20/2016,ENK1029E,220,,,,,,,,,,
171,4/19/2016,ENK1029E,73,,,,,,,,,,
172,4/18/2016,ENK1029E,58,,,,,,,,,,
173,4/17/2016,ENK1029E,20,,,,,,,,,,
174,4/16/2016,ENK1029E,15,,,,,,,,,,
175,4/15/2016,ENK1029E,94,,,,,,,,,,
176,4/14/2016,ENK1029E,34,,,,,,,,,,
177,4/13/2016,ENK1029E,57,,,,,,,,,,
178,4/12/2016,ENK1029E,33,,,,,,,,,,
179,4/11/2016,ENK1029E,78,,,,,,,,,,
180,4/10/2016,ENK1029E,29,,,,,,,,,,
181,4/9/2016,ENK1029E,29,,,,,,,,,,
182,4/8/2016,ENK1029E,105,,,,,,,,,,
183,4/7/2016,ENK1029E,154,,,,,,,,,,
184,4/6/2016,ENK1029E,104,,,,,,,,,,
185,4/5/2016,ENK1029E,119,,,,,,,,,,
186,4/4/2016,ENK1029E,109,,,,,,,,,,
187,4/3/2016,ENK1029E,60,,,,,,,,,,
188,4/2/2016,ENK1029E,56,,,,,,,,,,
189,4/1/2016,ENK1029E,293,,,,,,,,,,
190,11/8/2016,ENK1102E,322,322,,,,,,,,,
191,11/2/2016,ENK1102E,911,911,,,,,,,,,
192,11/1/2016,ENK1102E,875,875,,,,,,,,,
193,10/31/2016,ENK1102E,630,630,,,,,,,,,
194,10/30/2016,ENK1102E,388,388,,,,,,,,,
195,10/29/2016,ENK1102E,327,327,,,,,,,,,
196,10/28/2016,ENK1102E,222,222,,,,,,,,,
197,10/27/2016,ENK1102E,297,297,,,,,,,,,
198,10/26/2016,ENK1102E,394,394,,,,,,,,,
199,10/25/2016,ENK1102E,275,275,,,,,,,,,
200,10/24/2016,ENK1102E,195,195,,,,,,,,,
201,10/23/2016,ENK1102E,230,230,,,,,,,,,
202,10/22/2016,ENK1102E,166,166,,,,,,,,,
203,10/21/2016,ENK1102E,115,115,,,,,,,,,
204,10/20/2016,ENK1102E,142,142,,,,,,,,,
205,10/19/2016,ENK1102E,96,96,,,,,,,,,
206,10/18/2016,ENK1102E,100,100,,,,,,,,,
207,10/17/2016,ENK1102E,82,82,,,,,,,,,
208,10/16/2016,ENK1102E,68,68,,,,,,,,,
209,10/15/2016,ENK1102E,64,64,,,,,,,,,
210,10/14/2016,ENK1102E,123,123,,,,,,,,,
211,10/13/2016,ENK1102E,184,184,,,,,,,,,
212,10/12/2016,ENK1102E,194,194,,,,,,,,,
213,10/11/2016,ENK1102E,91,91,,,,,,,,,
214,10/10/2016,ENK1102E,82,82,,,,,,,,,
215,10/9/2016,ENK1102E,132,132,,,,,,,,,
216,10/8/2016,ENK1102E,110,110,,,,,,,,,
217,10/7/2016,ENK1102E,110,110,,,,,,,,,
218,10/6/2016,ENK1102E,105,105,,,,,,,,,
219,10/5/2016,ENK1102E,146,146,,,,,,,,,
220,10/4/2016,ENK1102E,166,166,,,,,,,,,
221,10/3/2016,ENK1102E,41,41,,,,,,,,,
222,10/2/2016,ENK1102E,86,12846,,,,,,,,,
223,10/1/2016,ENK1102E,48,,,,,,,,,,
224,9/30/2016,ENK1102E,85,,,,,,,,,,
225,9/29/2016,ENK1102E,89,,,,,,,,,,
226,9/28/2016,ENK1102E,188,,,,,,,,,,
227,9/27/2016,ENK1102E,725,,,,,,,,,,
228,9/26/2016,ENK1102E,338,,,,,,,,,,
229,9/25/2016,ENK1102E,52,,,,,,,,,,
230,9/24/2016,ENK1102E,31,,,,,,,,,,
231,9/23/2016,ENK1102E,196,,,,,,,,,,
232,9/22/2016,ENK1102E,364,,,,,,,,,,
233,9/21/2016,ENK1102E,140,,,,,,,,,,
234,9/20/2016,ENK1102E,220,,,,,,,,,,
235,9/19/2016,ENK1102E,7,,,,,,,,,,
236,9/17/2016,ENK1102E,6,,,,,,,,,,
237,9/16/2016,ENK1102E,18,,,,,,,,,,
238,9/15/2016,ENK1102E,32,,,,,,,,,,
239,9/14/2016,ENK1102E,18,,,,,,,,,,
240,9/13/2016,ENK1102E,31,,,,,,,,,,
241,9/12/2016,ENK1102E,30,,,,,,,,,,
242,9/11/2016,ENK1102E,4,,,,,,,,,,
243,9/10/2016,ENK1102E,6,,,,,,,,,,
244,9/9/2016,ENK1102E,45,,,,,,,,,,
245,9/8/2016,ENK1102E,65,,,,,,,,,,
246,9/7/2016,ENK1102E,95,,,,,,,,,,
247,9/6/2016,ENK1102E,86,,,,,,,,,,
248,9/5/2016,ENK1102E,2,,,,,,,,,,
249,9/2/2016,ENK1102E,27,,,,,,,,,,
250,9/1/2016,ENK1102E,48,,,,,,,,,,
251,8/31/2016,ENK1102E,27,,,,,,,,,,
252,8/30/2016,ENK1102E,50,,,,,,,,,,
253,8/29/2016,ENK1102E,92,,,,,,,,,,
254,8/26/2016,ENK1102E,20,,,,,,,,,,
255,8/25/2016,ENK1102E,28,,,,,,,,,,
256,8/24/2016,ENK1102E,115,,,,,,,,,,
257,8/23/2016,ENK1102E,8,,,,,,,,,,
258,8/19/2016,ENK1102E,8,,,,,,,,,,
259,8/18/2016,ENK1102E,13,,,,,,,,,,
260,8/17/2016,ENK1102E,10,,,,,,,,,,
261,8/16/2016,ENK1102E,6,,,,,,,,,,
262,8/15/2016,ENK1102E,8,,,,,,,,,,
263,8/12/2016,ENK1102E,10,,,,,,,,,,
264,8/11/2016,ENK1102E,12,,,,,,,,,,
265,8/10/2016,ENK1102E,11,,,,,,,,,,
266,8/9/2016,ENK1102E,8,,,,,,,,,,
267,8/8/2016,ENK1102E,10,,,,,,,,,,
268,8/7/2016,ENK1102E,2,,,,,,,,,,
269,8/6/2016,ENK1102E,2,,,,,,,,,,
270,8/5/2016,ENK1102E,16,,,,,,,,,,
271,8/4/2016,ENK1102E,18,,,,,,,,,,
272,8/3/2016,ENK1102E,14,,,,,,,,,,
273,8/2/2016,ENK1102E,12,,,,,,,,,,
274,8/1/2016,ENK1102E,44,,,,,,,,,,
275,7/31/2016,ENK1102E,2,,,,,,,,,,
276,7/30/2016,ENK1102E,2,,,,,,,,,,
277,7/29/2016,ENK1102E,40,,,,,,,,,,
278,7/28/2016,ENK1102E,27,,,,,,,,,,
279,7/27/2016,ENK1102E,48,,,,,,,,,,
280,7/26/2016,ENK1102E,20,,,,,,,,,,
281,7/25/2016,ENK1102E,31,,,,,,,,,,
282,7/22/2016,ENK1102E,34,,,,,,,,,,
283,7/21/2016,ENK1102E,29,,,,,,,,,,
284,7/20/2016,ENK1102E,4,,,,,,,,,,
285,7/19/2016,ENK1102E,17,,,,,,,,,,
286,7/18/2016,ENK1102E,28,,,,,,,,,,
287,7/15/2016,ENK1102E,18,,,,,,,,,,
288,7/14/2016,ENK1102E,16,,,,,,,,,,
289,7/13/2016,ENK1102E,22,,,,,,,,,,
290,7/12/2016,ENK1102E,32,,,,,,,,,,
291,7/11/2016,ENK1102E,24,,,,,,,,,,
292,7/10/2016,ENK1102E,2,,,,,,,,,,
293,7/8/2016,ENK1102E,36,,,,,,,,,,
294,7/7/2016,ENK1102E,27,,,,,,,,,,
295,7/6/2016,ENK1102E,43,,,,,,,,,,
296,7/5/2016,ENK1102E,44,,,,,,,,,,
297,7/4/2016,ENK1102E,2,,,,,,,,,,
298,7/3/2016,ENK1102E,16,,,,,,,,,,
299,7/2/2016,ENK1102E,2,,,,,,,,,,
300,7/1/2016,ENK1102E,35,,,,,,,,,,
301,6/30/2016,ENK1102E,59,,,,,,,,,,
302,6/29/2016,ENK1102E,64,,,,,,,,,,
303,6/28/2016,ENK1102E,182,,,,,,,,,,
304,6/27/2016,ENK1102E,37,,,,,,,,,,
305,6/25/2016,ENK1102E,2,,,,,,,,,,
306,6/24/2016,ENK1102E,61,,,,,,,,,,
307,6/23/2016,ENK1102E,65,,,,,,,,,,
308,6/22/2016,ENK1102E,76,,,,,,,,,,
309,6/21/2016,ENK1102E,34,,,,,,,,,,
310,6/20/2016,ENK1102E,12,,,,,,,,,,
311,6/18/2016,ENK1102E,8,,,,,,,,,,
312,6/17/2016,ENK1102E,17,,,,,,,,,,
313,6/16/2016,ENK1102E,29,,,,,,,,,,
314,6/15/2016,ENK1102E,76,,,,,,,,,,
315,6/14/2016,ENK1102E,36,,,,,,,,,,
316,6/13/2016,ENK1102E,28,,,,,,,,,,
317,6/10/2016,ENK1102E,38,,,,,,,,,,
318,6/9/2016,ENK1102E,106,,,,,,,,,,
319,6/8/2016,ENK1102E,21,,,,,,,,,,
320,6/7/2016,ENK1102E,70,,,,,,,,,,
321,6/6/2016,ENK1102E,621,,,,,,,,,,
322,6/5/2016,ENK1102E,16,,,,,,,,,,
323,6/4/2016,ENK1102E,12,,,,,,,,,,
324,6/3/2016,ENK1102E,360,,,,,,,,,,
325,6/2/2016,ENK1102E,233,,,,,,,,,,
326,6/1/2016,ENK1102E,14,,,,,,,,,,
327,5/31/2016,ENK1102E,22,,,,,,,,,,
328,5/26/2016,ENK1102E,18,,,,,,,,,,
329,5/25/2016,ENK1102E,30,,,,,,,,,,
330,5/24/2016,ENK1102E,24,,,,,,,,,,
331,5/23/2016,ENK1102E,11,,,,,,,,,,
332,5/21/2016,ENK1102E,8,,,,,,,,,,
333,5/20/2016,ENK1102E,4,,,,,,,,,,
334,5/19/2016,ENK1102E,20,,,,,,,,,,
335,5/18/2016,ENK1102E,25,,,,,,,,,,
336,5/17/2016,ENK1102E,78,,,,,,,,,,
337,5/16/2016,ENK1102E,33,,,,,,,,,,
338,5/13/2016,ENK1102E,52,,,,,,,,,,
339,5/12/2016,ENK1102E,115,,,,,,,,,,
340,5/11/2016,ENK1102E,44,,,,,,,,,,
341,5/10/2016,ENK1102E,99,,,,,,,,,,
342,5/9/2016,ENK1102E,116,,,,,,,,,,
343,5/8/2016,ENK1102E,6,,,,,,,,,,
344,5/7/2016,ENK1102E,40,,,,,,,,,,
345,5/6/2016,ENK1102E,873,,,,,,,,,,
346,5/5/2016,ENK1102E,686,,,,,,,,,,
347,5/4/2016,ENK1102E,298,,,,,,,,,,
348,5/3/2016,ENK1102E,398,,,,,,,,,,
349,5/2/2016,ENK1102E,275,,,,,,,,,,
350,5/1/2016,ENK1102E,104,,,,,,,,,,
351,4/30/2016,ENK1102E,38,,,,,,,,,,
352,4/29/2016,ENK1102E,219,,,,,,,,,,
353,4/28/2016,ENK1102E,234,,,,,,,,,,
354,4/27/2016,ENK1102E,185,,,,,,,,,,
355,4/26/2016,ENK1102E,144,,,,,,,,,,
356,4/25/2016,ENK1102E,163,,,,,,,,,,
357,4/24/2016,ENK1102E,32,,,,,,,,,,
358,4/23/2016,ENK1102E,17,,,,,,,,,,
359,4/22/2016,ENK1102E,81,,,,,,,,,,
360,4/21/2016,ENK1102E,110,,,,,,,,,,
361,4/20/2016,ENK1102E,220,,,,,,,,,,
362,4/19/2016,ENK1102E,73,,,,,,,,,,
363,4/18/2016,ENK1102E,58,,,,,,,,,,
364,4/17/2016,ENK1102E,20,,,,,,,,,,
365,4/16/2016,ENK1102E,15,,,,,,,,,,
366,4/15/2016,ENK1102E,94,,,,,,,,,,
367,4/14/2016,ENK1102E,34,,,,,,,,,,
368,4/13/2016,ENK1102E,57,,,,,,,,,,
369,4/12/2016,ENK1102E,33,,,,,,,,,,
370,4/11/2016,ENK1102E,78,,,,,,,,,,
371,4/10/2016,ENK1102E,29,,,,,,,,,,
372,4/9/2016,ENK1102E,29,,,,,,,,,,
373,4/8/2016,ENK1102E,105,,,,,,,,,,
374,4/7/2016,ENK1102E,154,,,,,,,,,,
375,4/6/2016,ENK1102E,104,,,,,,,,,,
376,4/5/2016,ENK1102E,119,,,,,,,,,,
377,4/4/2016,ENK1102E,109,,,,,,,,,,
378,4/3/2016,ENK1102E,60,,,,,,,,,,
379,4/2/2016,ENK1102E,56,,,,,,,,,,
380,4/1/2016,ENK1102E,293,,,,,,,,,,
381,11/8/2016,ENK1106M,115,,,,,,,,,,
382,11/6/2016,ENK1106M,991,991,,,,,,,,,
383,11/5/2016,ENK1106M,848,848,,,,,,,,,
384,11/4/2016,ENK1106M,530,530,,,,,,,,,
385,11/3/2016,ENK1106M,364,364,,,,,,,,,
386,11/2/2016,ENK1106M,392,392,,,,,,,,,
387,11/1/2016,ENK1106M,342,342,,,,,,,,,
388,10/31/2016,ENK1106M,220,220,,,,,,,,,
389,10/30/2016,ENK1106M,216,216,,,,,,,,,
390,10/29/2016,ENK1106M,174,174,,,,,,,,,
391,10/28/2016,ENK1106M,211,211,,,,,,,,,
392,10/27/2016,ENK1106M,138,138,,,,,,,,,
393,10/26/2016,ENK1106M,105,105,,,,,,,,,
394,10/25/2016,ENK1106M,213,213,,,,,,,,,
395,10/24/2016,ENK1106M,110,110,,,,,,,,,
396,10/23/2016,ENK1106M,82,82,,,,,,,,,
397,10/22/2016,ENK1106M,66,66,,,,,,,,,
398,10/21/2016,ENK1106M,88,88,,,,,,,,,
399,10/20/2016,ENK1106M,82,82,,,,,,,,,
400,10/19/2016,ENK1106M,192,192,,,,,,,,,
401,10/18/2016,ENK1106M,52,52,,,,,,,,,
402,10/17/2016,ENK1106M,94,94,,,,,,,,,
403,10/16/2016,ENK1106M,82,82,,,,,,,,,
404,10/15/2016,ENK1106M,60,60,,,,,,,,,
405,10/14/2016,ENK1106M,66,66,,,,,,,,,
406,10/13/2016,ENK1106M,112,112,,,,,,,,,
407,10/12/2016,ENK1106M,126,126,,,,,,,,,
408,10/11/2016,ENK1106M,156,156,,,,,,,,,
409,10/10/2016,ENK1106M,60,60,,,,,,,,,
410,10/9/2016,ENK1106M,70,70,,,,,,,,,
411,10/8/2016,ENK1106M,48,48,,,,,,,,,
412,10/7/2016,ENK1106M,71,71,,,,,,,,,
413,10/6/2016,ENK1106M,96,11464,,,,,,,,,
414,10/5/2016,ENK1106M,66,,,,,,,,,,
415,10/4/2016,ENK1106M,80,,,,,,,,,,
416,10/3/2016,ENK1106M,64,,,,,,,,,,
417,10/2/2016,ENK1106M,27,,,,,,,,,,
418,10/1/2016,ENK1106M,58,,,,,,,,,,
419,9/30/2016,ENK1106M,32,,,,,,,,,,
420,9/29/2016,ENK1106M,53,,,,,,,,,,
421,9/28/2016,ENK1106M,112,,,,,,,,,,
422,9/27/2016,ENK1106M,248,,,,,,,,,,
