Brand,Date,Facebook Page Impressions,Twitter Organic Impressions
Rockettes,5/1/2015,"857,356","40,156"
Rockettes,5/2/2015,"458,990","29,648"
Rockettes,5/3/2015,"730,913","38,921"
Rockettes,5/4/2015,"1,690,085","32,924"
Rockettes,5/5/2015,"2,332,602","35,529"
Rockettes,5/6/2015,"2,179,753","26,684"
Rockettes,5/7/2015,"1,664,348","16,091"
Rockettes,5/8/2015,"1,479,931","12,366"
Rockettes,5/9/2015,"1,462,805","14,043"
Rockettes,5/10/2015,"1,396,044","9,170"
Rockettes,5/11/2015,"1,573,237","15,502"
Rockettes,5/12/2015,"1,118,959","14,369"
Rockettes,5/13/2015,"832,782","113,960"
Rockettes,5/14/2015,"1,027,671","22,182"
Rockettes,5/15/2015,"836,024","16,522"
Rockettes,5/16/2015,"565,892","93,060"
Rockettes,5/17/2015,"1,352,991","42,487"
Rockettes,5/18/2015,"1,082,446","37,342"
Rockettes,5/19/2015,"1,129,016","22,981"
Rockettes,5/20/2015,"1,030,014","21,705"
Rockettes,5/21/2015,"901,399","27,582"
Rockettes,5/22/2015,"430,299","26,732"
Rockettes,5/23/2015,"317,256","23,303"
Rockettes,5/24/2015,"278,824","20,574"
Rockettes,5/25/2015,"1,678,765","37,337"
Rockettes,5/26/2015,"840,997","40,279"
Rockettes,5/27/2015,"396,416","21,879"
Rockettes,5/28/2015,"413,526","52,244"
Rockettes,5/29/2015,"407,735","38,770"
Rockettes,5/30/2015,"236,746","22,829"
Rockettes,5/31/2015,"737,193","22,632"
Rockettes,6/1/2015,"817,342","28,539"
Rockettes,6/2/2015,"1,282,320","27,690"
Rockettes,6/3/2015,"671,731","23,110"
Rockettes,6/4/2015,"595,824","33,207"
Rockettes,6/5/2015,"672,672","65,168"
Rockettes,6/6/2015,"719,691","35,545"
Rockettes,6/7/2015,"751,267","40,531"
Rockettes,6/8/2015,"762,241","35,589"
Rockettes,6/9/2015,"781,903","31,909"
Rockettes,6/10/2015,"1,595,432","30,546"
Rockettes,6/11/2015,"919,651","53,355"
Rockettes,6/12/2015,"849,173","38,150"
Rockettes,6/13/2015,"786,639","16,903"
Rockettes,6/14/2015,"733,720","20,690"
Rockettes,6/15/2015,"3,140,136","33,686"
Rockettes,6/16/2015,"2,107,843","33,280"
Rockettes,6/17/2015,"1,104,061","34,934"
Rockettes,6/18/2015,"784,397","47,272"
Rockettes,6/19/2015,"1,179,092","24,386"
Rockettes,6/20/2015,"874,760","21,199"
Rockettes,6/21/2015,"580,740","17,010"
Rockettes,6/22/2015,"674,735","25,366"
Rockettes,6/23/2015,"1,436,900","20,286"
Rockettes,6/24/2015,"1,812,739","21,433"
Rockettes,6/25/2015,"1,517,969","102,460"
Rockettes,6/26/2015,"629,066","24,993"
Rockettes,6/27/2015,"683,144","20,278"
Rockettes,6/28/2015,"904,315","60,282"
Rockettes,6/29/2015,"1,104,547","39,171"
Rockettes,6/30/2015,"1,321,551","27,284"
Rockettes,7/1/2015,"1,634,351","52,109"
Rockettes,7/2/2015,"1,410,639","32,119"
Rockettes,7/3/2015,"1,638,716","41,492"
Rockettes,7/4/2015,"908,837","49,620"
Rockettes,7/5/2015,"832,944","31,301"
Rockettes,7/6/2015,"763,468","19,898"
Rockettes,7/7/2015,"759,625","20,138"
Rockettes,7/8/2015,"734,275","31,666"
Rockettes,7/9/2015,"999,822","44,566"
Rockettes,7/10/2015,"698,387","31,063"
Rockettes,7/11/2015,"478,815","14,579"
Rockettes,7/12/2015,"282,260","15,491"
Rockettes,7/13/2015,"1,840,275","27,157"
Rockettes,7/14/2015,"1,308,162","38,147"
Rockettes,7/15/2015,"750,458","25,363"
Rockettes,7/16/2015,"508,930","27,129"
Rockettes,7/17/2015,"290,900","32,188"
Rockettes,7/18/2015,"182,262","24,130"
Rockettes,7/19/2015,"484,480","21,564"
Rockettes,7/20/2015,"1,559,814","54,659"
Rockettes,7/21/2015,"1,015,197","40,183"
Rockettes,7/22/2015,"805,989","54,330"
Rockettes,7/23/2015,"557,236","38,178"
Rockettes,7/24/2015,"518,058","27,990"
Rockettes,7/25/2015,"810,029","34,053"
Rockettes,7/26/2015,"413,588","20,787"
Rockettes,7/27/2015,"1,710,830","22,922"
Rockettes,7/28/2015,"2,079,809","41,580"
Rockettes,7/29/2015,"901,267","48,952"
Rockettes,7/30/2015,"420,971","22,303"
Rockettes,7/31/2015,"551,465","24,879"
Rockettes,8/1/2015,"394,807","13,656"
Rockettes,8/2/2015,"346,701","26,870"
Rockettes,8/3/2015,"833,222","39,851"
Rockettes,8/4/2015,"820,622","26,929"
Rockettes,8/5/2015,"728,106","26,418"
Rockettes,8/6/2015,"421,438","22,560"
Rockettes,8/7/2015,"599,678","21,451"
Rockettes,8/8/2015,"553,966","17,013"
Rockettes,8/9/2015,"467,517","19,637"
Rockettes,8/10/2015,"1,408,194","80,937"
Rockettes,8/11/2015,"1,035,546","207,692"
Rockettes,8/12/2015,"675,365","134,820"
Rockettes,8/13/2015,"942,592","163,327"
Rockettes,8/14/2015,"1,094,578","37,096"
Rockettes,8/15/2015,"791,828","21,894"
Rockettes,8/16/2015,"388,907","22,508"
Rockettes,8/17/2015,"1,968,212","138,647"
Rockettes,8/18/2015,"1,097,345","69,300"
Rockettes,8/19/2015,"731,160","47,663"
Rockettes,8/20/2015,"787,833","30,901"
Rockettes,8/21/2015,"641,458","19,056"
Rockettes,8/22/2015,"416,759","17,909"
Rockettes,8/23/2015,"783,550","21,398"
Rockettes,8/24/2015,"2,514,650","37,332"
Rockettes,8/25/2015,"2,446,731","52,543"
Rockettes,8/26/2015,"1,404,405","49,840"
Rockettes,8/27/2015,"615,391","136,616"
Rockettes,8/28/2015,"963,063","55,438"
Rockettes,8/29/2015,"748,529","47,142"
Rockettes,8/30/2015,"157,250","32,838"
Rockettes,8/31/2015,"1,367,032","90,957"
Rockettes,9/1/2015,"1,207,402","68,769"
Rockettes,9/2/2015,"1,023,699","57,569"
Rockettes,9/3/2015,"419,299","53,995"
Rockettes,9/4/2015,"210,631","39,345"
Rockettes,9/5/2015,"133,675","21,671"
Rockettes,9/6/2015,"70,195","27,297"
Rockettes,9/7/2015,"410,156","26,269"
Rockettes,9/8/2015,"645,878","33,194"
Rockettes,9/9/2015,"368,697","36,338"
Rockettes,9/10/2015,"297,911","23,839"
Rockettes,9/11/2015,"453,840","18,810"
Rockettes,9/12/2015,"226,023","8,454"
Rockettes,9/13/2015,"196,727","14,181"
Rockettes,9/14/2015,"357,925","91,912"
Rockettes,9/15/2015,"274,866","115,314"
Rockettes,9/16/2015,"1,047,850","60,256"
Rockettes,9/17/2015,"683,316","38,667"
Rockettes,9/18/2015,"454,098","46,740"
Rockettes,9/19/2015,"290,348","17,911"
Rockettes,9/20/2015,"286,254","21,479"
Rockettes,9/21/2015,"1,502,166","28,775"
Rockettes,9/22/2015,"1,500,340","25,039"
Rockettes,9/23/2015,"994,975","55,272"
Rockettes,9/24/2015,"636,679","26,638"
Rockettes,9/25/2015,"353,719","25,204"
Rockettes,9/26/2015,"405,202","18,948"
Rockettes,9/27/2015,"350,271","15,560"
Rockettes,9/28/2015,"429,460","23,247"
Rockettes,9/29/2015,"712,322","50,605"
Rockettes,9/30/2015,"1,068,700","43,678"
Rockettes,10/1/2015,"381,873","61,754"
Rockettes,10/2/2015,"731,623","37,996"
Rockettes,10/3/2015,"490,788","26,959"
Rockettes,10/4/2015,"126,327","22,143"
Rockettes,10/5/2015,"1,099,502","44,194"
Rockettes,10/6/2015,"1,500,670","27,887"
Rockettes,10/7/2015,"1,050,995","29,777"
Rockettes,10/8/2015,"765,463","22,456"
Rockettes,10/9/2015,"1,311,541","62,951"
Rockettes,10/10/2015,"1,257,152","59,262"
Rockettes,10/11/2015,"760,556","22,580"
Rockettes,10/12/2015,"1,590,695","55,233"
Rockettes,10/13/2015,"1,345,375","30,388"
Rockettes,10/14/2015,"1,173,776","32,162"
Rockettes,10/15/2015,"744,855","25,797"
Rockettes,10/16/2015,"781,206","34,222"
Rockettes,10/17/2015,"664,302","14,011"
Rockettes,10/18/2015,"386,219","17,952"
Rockettes,10/19/2015,"879,989","35,063"
Rockettes,10/20/2015,"1,309,305","56,709"
Rockettes,10/21/2015,"1,197,740","41,819"
Rockettes,10/22/2015,"536,653","33,053"
Rockettes,10/23/2015,"507,432","37,715"
Rockettes,10/24/2015,"366,647","16,738"
Rockettes,10/25/2015,"418,202","17,086"
Rockettes,10/26/2015,"894,421","34,080"
Rockettes,10/27/2015,"570,552","29,847"
Rockettes,10/28/2015,"766,151","23,647"
Rockettes,10/29/2015,"638,350","35,319"
Rockettes,10/30/2015,"770,156","40,115"
Rockettes,10/31/2015,"767,224","25,058"
Rockettes,11/1/2015,"556,263","23,102"
Rockettes,11/2/2015,"845,122","27,744"
Rockettes,11/3/2015,"696,332","40,608"
Rockettes,11/4/2015,"1,388,424","38,010"
Rockettes,11/5/2015,"1,572,414","34,028"
Rockettes,11/6/2015,"2,663,146","28,088"
Rockettes,11/7/2015,"1,296,335","15,598"
Rockettes,11/8/2015,"491,857","19,018"
Rockettes,11/9/2015,"749,740","26,674"
Rockettes,11/10/2015,"1,448,419","29,735"
Rockettes,11/11/2015,"1,214,199","48,878"
Rockettes,11/12/2015,"688,515","55,709"
Rockettes,11/13/2015,"630,253","104,313"
Rockettes,11/14/2015,"395,445","19,407"
Rockettes,11/15/2015,"698,585","20,421"
Rockettes,11/16/2015,"869,934","88,462"
Rockettes,11/17/2015,"899,176","419,285"
Rockettes,11/18/2015,"673,804","74,014"
Rockettes,11/19/2015,"634,823","84,477"
Rockettes,11/20/2015,"2,326,847","63,514"
Rockettes,11/21/2015,"1,856,123","39,957"
Rockettes,11/22/2015,"1,658,170","26,800"
Rockettes,11/23/2015,"1,640,044","49,043"
Rockettes,11/24/2015,"1,677,763","34,693"
Rockettes,11/25/2015,"1,300,470","65,479"
Rockettes,11/26/2015,"1,156,962","265,566"
Rockettes,11/27/2015,"716,423","44,487"
Rockettes,11/28/2015,"1,362,922","41,418"
Rockettes,11/29/2015,"827,469","40,520"
Rockettes,11/30/2015,"886,867","120,088"
Rockettes,12/1/2015,"1,079,968","77,501"
Rockettes,12/2/2015,"1,155,674","125,202"
Rockettes,12/3/2015,"883,695","181,354"
Rockettes,12/4/2015,"1,014,383","78,703"
Rockettes,12/5/2015,"2,087,531","41,939"
Rockettes,12/6/2015,"842,752","29,942"
Rockettes,12/7/2015,"877,873","83,204"
Rockettes,12/8/2015,"522,868","48,130"
Rockettes,12/9/2015,"679,259","58,770"
Rockettes,12/10/2015,"1,504,945","92,334"
Rockettes,12/11/2015,"1,151,109","66,573"
Rockettes,12/12/2015,"1,002,224","40,965"
Rockettes,12/13/2015,"398,372","36,425"
Rockettes,12/14/2015,"1,023,567","53,361"
Rockettes,12/15/2015,"1,080,848","65,868"
Rockettes,12/16/2015,"635,447","57,867"
Rockettes,12/17/2015,"888,809","79,220"
Rockettes,12/18/2015,"1,117,925","53,512"
Rockettes,12/19/2015,"848,663","29,250"
Rockettes,12/20/2015,"802,526","32,908"
Rockettes,12/21/2015,"786,227","56,565"
Rockettes,12/22/2015,"898,069","59,359"
Rockettes,12/23/2015,"1,156,402","71,172"
Rockettes,12/24/2015,"793,624","42,144"
Rockettes,12/25/2015,"769,335","34,121"
Rockettes,12/26/2015,"756,327","37,744"
Rockettes,12/27/2015,"521,433","35,033"
Rockettes,12/28/2015,"647,939","62,051"
Rockettes,12/29/2015,"916,539","47,395"
Rockettes,12/30/2015,"987,031","95,368"
Rockettes,12/31/2015,"975,671","42,292"
Rockettes,1/1/2016,"1,599,149","51,699"
Rockettes,1/2/2016,"3,584,408","28,628"
Rockettes,1/3/2016,"3,272,521","31,854"
Rockettes,1/4/2016,"1,933,182","49,705"
Rockettes,1/5/2016,"789,776","38,913"
Rockettes,1/6/2016,"509,828","36,439"
Rockettes,1/7/2016,"507,552","37,808"
Rockettes,1/8/2016,"454,548","27,255"
Rockettes,1/9/2016,"350,006","21,397"
Rockettes,1/10/2016,"217,253","44,087"
Rockettes,1/11/2016,"957,464","28,647"
Rockettes,1/12/2016,"1,790,270","60,374"
Rockettes,1/13/2016,"1,031,555","36,920"
Rockettes,1/14/2016,"887,665","42,026"
Rockettes,1/15/2016,"655,429","31,995"
Rockettes,1/16/2016,"544,301","30,323"
Rockettes,1/17/2016,"480,517","29,471"
Rockettes,1/18/2016,"471,713","28,918"
Rockettes,1/19/2016,"804,812","46,074"
Rockettes,1/20/2016,"667,943","30,932"
Rockettes,1/21/2016,"458,936","33,351"
Rockettes,1/22/2016,"1,506,368","54,766"
Rockettes,1/23/2016,"802,321","28,510"
Rockettes,1/24/2016,"190,233","23,694"
Rockettes,1/25/2016,"932,869","73,107"
Rockettes,1/26/2016,"779,292","49,031"
Rockettes,1/27/2016,"447,535","103,703"
Rockettes,1/28/2016,"656,350","62,394"
Rockettes,1/29/2016,"893,060","50,822"
Rockettes,1/30/2016,"538,194","34,827"
Rockettes,1/31/2016,"312,701","40,734"
Rockettes,2/1/2016,"309,048","49,658"
Rockettes,2/2/2016,"409,403","39,741"
Rockettes,2/3/2016,"609,610","37,402"
Rockettes,2/4/2016,"509,245","46,064"
Rockettes,2/5/2016,"534,815","75,038"
Rockettes,2/6/2016,"398,665","36,027"
Rockettes,2/7/2016,"214,320","50,731"
Rockettes,2/8/2016,"320,059","36,611"
Rockettes,2/9/2016,"614,540","45,219"
Rockettes,2/10/2016,"802,341","38,068"
Rockettes,2/11/2016,"544,935","46,604"
Rockettes,2/12/2016,"606,405","46,332"
Rockettes,2/13/2016,"804,491","35,111"
Rockettes,2/14/2016,"395,872","39,551"
Rockettes,2/15/2016,"218,642","34,956"
Rockettes,2/16/2016,"664,819","47,944"
Rockettes,2/17/2016,"997,884","48,581"
Rockettes,2/18/2016,"579,249","38,009"
Rockettes,2/19/2016,"811,615","35,047"
Rockettes,2/20/2016,"427,304","17,659"
Rockettes,2/21/2016,"206,007","19,883"
Rockettes,2/22/2016,"353,340","27,642"
Rockettes,2/23/2016,"1,062,395","54,994"
Rockettes,2/24/2016,"646,024","28,659"
Rockettes,2/25/2016,"741,213","30,293"
Rockettes,2/26/2016,"1,154,887","34,353"
Rockettes,2/27/2016,"1,323,584","17,514"
Rockettes,2/28/2016,"970,497","21,002"
Rockettes,2/29/2016,"1,382,932","35,715"
Rockettes,3/1/2016,"884,976","47,297"
Rockettes,3/2/2016,"878,000","35,119"
Rockettes,3/3/2016,"523,669","40,944"
Rockettes,3/4/2016,"241,829","39,036"
Rockettes,3/5/2016,"180,005","23,791"
Rockettes,3/6/2016,"138,931","25,077"
Rockettes,3/7/2016,"203,830","31,954"
Rockettes,3/8/2016,"758,404","38,741"
Rockettes,3/9/2016,"702,514","37,558"
Rockettes,3/10/2016,"296,263","35,541"
Rockettes,3/11/2016,"723,905","45,093"
Rockettes,3/12/2016,"351,365","37,000"
Rockettes,3/14/2016,"406,674","60,372"
Rockettes,3/15/2016,"258,940","41,700"
Rockettes,3/16/2016,"464,582","33,163"
Rockettes,3/17/2016,"613,788","43,317"
Rockettes,3/18/2016,"1,634,653","34,097"
Rockettes,3/19/2016,"1,250,635","17,921"
Rockettes,3/20/2016,"320,894","17,621"
Rockettes,3/21/2016,"321,341","38,882"
Rockettes,3/22/2016,"314,716","148,614"
Rockettes,3/23/2016,"411,217","30,222"
Rockettes,3/24/2016,"378,768","33,913"
Rockettes,3/25/2016,"549,605","31,525"
Rockettes,3/26/2016,"454,932","29,647"
Rockettes,3/27/2016,"344,250","20,024"
Rockettes,3/28/2016,"288,098","45,454"
Rockettes,3/29/2016,"391,614","37,850"
Rockettes,3/30/2016,"325,412","85,267"
Rockettes,3/31/2016,"444,472","42,103"
Rockettes,4/1/2016,"521,007","40,837"
Rockettes,4/2/2016,"202,128","18,600"
Rockettes,4/3/2016,"189,170","22,262"
Rockettes,4/4/2016,"507,302","38,735"
Rockettes,4/5/2016,"733,142","43,848"
Rockettes,4/6/2016,"338,564","80,145"
Rockettes,4/7/2016,"276,784","38,023"
Rockettes,4/8/2016,"663,147","40,373"
Rockettes,4/9/2016,"345,663","21,011"
Rockettes,4/10/2016,"71,435","16,613"
Rockettes,4/11/2016,"329,686","33,041"
Rockettes,4/12/2016,"530,609","38,178"
Rockettes,4/13/2016,"482,177","33,306"
Rockettes,4/14/2016,"613,732","26,685"
Rockettes,4/15/2016,"598,777","30,502"
Rockettes,4/16/2016,"347,914","14,725"
Rockettes,4/17/2016,"514,445","20,926"
Rockettes,4/18/2016,"422,890","56,476"
Rockettes,4/19/2016,"412,066","40,910"
Rockettes,4/20/2016,"427,960","52,471"
Rockettes,4/21/2016,"219,884","48,116"
Rockettes,4/22/2016,"494,622","47,129"
Rockettes,4/23/2016,"335,563","15,493"
Rockettes,4/24/2016,"248,856","23,151"
Rockettes,4/25/2016,"379,085","34,506"
Rockettes,4/26/2016,"667,036","48,138"
Rockettes,4/27/2016,"572,893","60,229"
Rockettes,4/28/2016,"454,682","47,297"
Rockettes,4/29/2016,"469,873","48,422"
Rockettes,4/30/2016,"538,505","34,921"
Rockettes,5/1/2016,"286,340","24,202"
Rockettes,5/2/2016,"499,425","37,426"
Rockettes,5/3/2016,"764,414","42,099"
Rockettes,5/4/2016,"783,007","49,147"
Rockettes,5/5/2016,"837,789","80,747"
Rockettes,5/6/2016,"970,576","55,961"
Rockettes,5/7/2016,"636,631","29,933"
Rockettes,5/8/2016,"368,359","40,151"
Rockettes,5/9/2016,"587,777","34,840"
Rockettes,5/10/2016,"638,521","136,113"
Rockettes,5/11/2016,"612,470","41,345"
Rockettes,5/12/2016,"887,684","58,201"
Rockettes,5/13/2016,"827,170","91,664"
Rockettes,5/14/2016,"392,543","35,028"
Rockettes,5/15/2016,"454,670","33,637"
Rockettes,5/16/2016,"443,640","35,867"
Rockettes,5/17/2016,"356,830","46,126"
Rockettes,5/18/2016,"624,020","51,527"
Rockettes,5/19/2016,"704,431","47,944"
Rockettes,5/20/2016,"1,246,193","46,487"
Rockettes,5/21/2016,"1,409,788","43,003"
Rockettes,5/22/2016,"617,116","26,086"
Rockettes,5/23/2016,"392,743","45,609"
Rockettes,5/24/2016,"687,564","45,278"
Rockettes,5/25/2016,"754,056","91,620"
Rockettes,5/26/2016,"447,180","49,303"
Rockettes,5/27/2016,"412,591","41,716"
Rockettes,5/28/2016,"333,329","20,205"
Rockettes,5/29/2016,"437,432","28,854"
Rockettes,5/30/2016,"342,797","46,073"
Rockettes,5/31/2016,"485,689","50,919"
Rockettes,6/1/2016,"586,816","38,418"
Rockettes,6/2/2016,"571,583","38,792"
Rockettes,6/3/2016,"805,178","43,999"
Rockettes,6/4/2016,"601,740","23,336"
Rockettes,6/5/2016,"601,655","26,790"
Rockettes,6/6/2016,"462,610","26,826"
Rockettes,6/7/2016,"1,097,184","93,035"
Rockettes,6/8/2016,"664,261","133,015"
Rockettes,6/9/2016,"662,254","33,736"
Rockettes,6/10/2016,"1,058,113","34,112"
Rockettes,6/11/2016,"864,337","22,102"
Rockettes,6/12/2016,"558,744","51,066"
Rockettes,6/13/2016,"738,122","44,577"
Rockettes,6/14/2016,"722,344","35,495"
Rockettes,6/15/2016,"687,910","72,431"
Rockettes,6/16/2016,"698,792","44,049"
Rockettes,6/17/2016,"1,046,520","45,847"
Rockettes,6/18/2016,"1,061,625","34,980"
Rockettes,6/19/2016,"677,879","30,410"
Rockettes,6/20/2016,"1,888,186","64,097"
Rockettes,6/21/2016,"2,744,964","51,296"
Rockettes,6/22/2016,"1,336,108","30,436"
Rockettes,6/23/2016,"1,365,724","95,900"
Rockettes,6/24/2016,"714,593","67,008"
Rockettes,6/25/2016,"598,404","27,559"
Rockettes,6/26/2016,"796,902","22,141"
Rockettes,6/27/2016,"839,937","55,576"
Rockettes,6/28/2016,"842,669","46,855"
Rockettes,6/29/2016,"861,607","55,448"
Rockettes,6/30/2016,"608,183","34,501"
Rockettes,7/1/2016,"1,307,272","49,317"
Rockettes,7/2/2016,"1,451,707","24,994"
Rockettes,7/3/2016,"1,136,928","25,115"
Rockettes,7/4/2016,"1,133,340","155,212"
Rockettes,7/5/2016,"1,035,759","72,901"
Rockettes,7/6/2016,"588,970","56,651"
Rockettes,7/7/2016,"649,575","47,710"
Rockettes,7/8/2016,"608,493","55,515"
Rockettes,7/9/2016,"684,763","30,060"
Rockettes,7/10/2016,"665,363","41,323"
Rockettes,7/11/2016,"658,200","54,495"
Rockettes,7/12/2016,"606,127","89,590"
Rockettes,7/13/2016,"2,113,170","43,032"
Rockettes,7/14/2016,"2,566,866","53,660"
