Brand,Date,Facebook Page Impressions,Twitter Organic Impressions
Rockettes,7/15/2016,"1,111,837","60,795"
Rockettes,7/16/2016,"1,446,258","28,151"
Rockettes,7/17/2016,"1,542,664","23,881"
Rockettes,7/18/2016,"1,357,244","37,066"
Rockettes,7/19/2016,"1,745,165","41,983"
Rockettes,7/20/2016,"1,476,790","94,193"
Rockettes,7/21/2016,"791,078","57,262"
Rockettes,7/22/2016,"1,067,414","46,634"
Rockettes,7/23/2016,"1,095,318","44,177"
Rockettes,7/24/2016,"1,043,024","34,281"
Rockettes,7/25/2016,"884,853","64,765"
Rockettes,7/26/2016,"753,632","83,383"
Rockettes,7/27/2016,"979,923","61,295"
Rockettes,7/28/2016,"897,480","56,322"
Rockettes,7/29/2016,"988,989","48,488"
Rockettes,7/30/2016,"978,663","35,554"
Rockettes,7/31/2016,"679,063","23,518"
Rockettes,8/1/2016,"515,818","62,633"
Rockettes,8/2/2016,"707,574","65,334"
Rockettes,8/3/2016,"567,910","39,287"
Rockettes,8/4/2016,"717,798","41,756"
Rockettes,8/5/2016,"850,222","64,265"
Rockettes,8/6/2016,"1,019,759","27,710"
Rockettes,8/7/2016,"775,335","31,035"
Rockettes,8/8/2016,"805,587","30,346"
Rockettes,8/9/2016,"738,609","28,288"
Rockettes,8/10/2016,"313,651","27,129"
Rockettes,8/11/2016,"282,687","47,292"
Rockettes,8/12/2016,"616,480","41,072"
Rockettes,8/13/2016,"431,515","26,051"
Rockettes,8/14/2016,"362,415","22,833"
Rockettes,8/15/2016,"376,647","42,090"
Rockettes,8/16/2016,"407,917","40,543"
Rockettes,8/17/2016,"595,794","31,028"
Rockettes,8/18/2016,"461,776","35,362"
Rockettes,8/19/2016,"482,711","84,343"
Rockettes,8/20/2016,"360,698","32,479"
Rockettes,8/21/2016,"338,056","32,583"
Rockettes,8/22/2016,"568,118","30,758"
Rockettes,8/23/2016,"1,593,391","40,247"
Rockettes,8/24/2016,"984,671","27,750"
Rockettes,8/25/2016,"433,752","54,590"
Rockettes,8/26/2016,"377,110","38,739"
Rockettes,8/27/2016,"329,571","26,992"
Rockettes,8/28/2016,"234,944","30,503"
Rockettes,8/29/2016,"420,528","30,107"
Rockettes,8/30/2016,"317,723","43,912"
Rockettes,8/31/2016,"491,231","26,456"
Rockettes,9/1/2016,"440,405","21,412"
Rockettes,9/2/2016,"388,804","22,048"
Rockettes,9/3/2016,"369,264","22,895"
Rockettes,9/4/2016,"240,086","29,335"
Rockettes,9/5/2016,"290,109","33,314"
Rockettes,9/6/2016,"332,313","23,082"
Rockettes,9/7/2016,"394,448","21,629"
Rockettes,9/8/2016,"274,419","22,962"
Rockettes,9/9/2016,"213,535","25,879"
Rockettes,9/10/2016,"277,439","20,702"
Rockettes,9/11/2016,"272,298","20,882"
Rockettes,9/12/2016,"232,578","30,106"
Rockettes,9/13/2016,"312,663","23,005"
Rockettes,9/14/2016,"253,814","22,902"
Rockettes,9/15/2016,"411,984","25,250"
Rockettes,9/16/2016,"985,596","25,139"
Rockettes,9/17/2016,"555,346","22,820"
Rockettes,9/18/2016,"328,588","26,873"
Rockettes,9/19/2016,"377,187","57,592"
Rockettes,9/20/2016,"288,541","33,397"
Rockettes,9/21/2016,"320,092","48,978"
Rockettes,9/22/2016,"370,100","57,841"
Rockettes,9/23/2016,"233,114","33,195"
Rockettes,9/24/2016,"291,752","21,822"
Rockettes,9/25/2016,"293,604","25,091"
Rockettes,9/26/2016,"620,970","29,531"
Rockettes,9/27/2016,"472,375","28,941"
Rockettes,9/28/2016,"644,939","109,076"
Rockettes,9/29/2016,"696,278","45,110"
Rockettes,9/30/2016,"786,605","32,622"
Rockettes,10/1/2016,"565,642","20,059"
Rockettes,10/2/2016,"484,524","23,572"
Rockettes,10/3/2016,"1,024,977","20,995"
Rockettes,10/4/2016,"403,039","18,877"
Rockettes,10/5/2016,"509,950","24,621"
Rockettes,10/6/2016,"1,051,326","22,494"
Rockettes,10/7/2016,"1,345,883","19,046"
Rockettes,10/8/2016,"693,188","19,582"
Rockettes,10/9/2016,"600,488","16,802"
Rockettes,10/10/2016,"378,593","37,399"
Rockettes,10/11/2016,"440,980","19,727"
Rockettes,10/12/2016,"1,114,289","26,630"
Rockettes,10/13/2016,"2,326,539","36,501"
Rockettes,10/14/2016,"2,009,112","21,046"
Rockettes,10/15/2016,"1,243,790","19,402"
Rockettes,10/16/2016,"747,944","23,248"
Rockettes,10/17/2016,"723,093","25,408"
Rockettes,10/18/2016,"735,787","25,178"
Rockettes,10/19/2016,"514,176","25,779"
Rockettes,10/20/2016,"684,246","28,955"
Rockettes,10/21/2016,"647,460","25,863"
Rockettes,10/22/2016,"619,678","17,937"
Rockettes,10/23/2016,"1,188,856","24,332"
Rockettes,10/24/2016,"1,201,198","21,403"
Rockettes,10/25/2016,"1,109,041","24,753"
Rockettes,10/26/2016,"805,574","22,823"
Rockettes,10/27/2016,"830,993","27,508"
Rockettes,10/28/2016,"633,340","21,131"
Rockettes,10/29/2016,"304,823","17,629"
Rockettes,10/30/2016,"293,010","18,992"
Rockettes,10/31/2016,"185,901","24,993"
Rockettes,11/1/2016,"1,021,874","37,184"
Rockettes,11/2/2016,"852,647","17,454"
Rockettes,11/3/2016,"1,463,929","45,493"
Rockettes,11/4/2016,"1,199,164","26,052"
Rockettes,11/5/2016,"701,260","18,384"
Rockettes,11/6/2016,"774,505","37,573"
Rockettes,11/7/2016,"1,213,064","226,235"
Rockettes,11/8/2016,"1,001,630","40,626"
Rockettes,11/9/2016,"705,237","32,725"
Rockettes,11/10/2016,"1,190,126","37,851"
Rockettes,11/11/2016,"1,119,764","28,214"
Rockettes,11/12/2016,"1,074,315","22,100"
Rockettes,11/13/2016,"621,545","22,977"
Rockettes,11/14/2016,"958,567","19,700"
Rockettes,11/15/2016,"1,595,618","48,737"
Rockettes,11/16/2016,"1,087,593","30,844"
Rockettes,11/17/2016,"671,850","23,954"
Rockettes,11/18/2016,"1,139,764","20,205"
Rockettes,11/19/2016,"502,750","18,716"
Rockettes,11/20/2016,"516,143","17,335"
Rockettes,11/21/2016,"635,395","48,299"
Rockettes,11/22/2016,"875,934","34,321"
Rockettes,11/23/2016,"1,322,572","56,190"
Rockettes,11/24/2016,"1,763,273","201,275"
Rockettes,11/25/2016,"1,123,643","33,037"
Rockettes,11/26/2016,"1,454,409","21,503"
Rockettes,11/27/2016,"1,254,031","28,863"
Rockettes,11/28/2016,"1,020,503","32,714"
Rockettes,11/29/2016,"1,225,515","44,852"
Rockettes,11/30/2016,"1,733,576","190,161"
Rockettes,12/1/2016,"1,257,389","64,962"
Rockettes,12/2/2016,"1,864,745","90,141"
Rockettes,12/3/2016,"2,149,263","45,181"
Rockettes,12/4/2016,"1,719,425","32,357"
Rockettes,12/5/2016,"1,422,148","62,281"
Rockettes,12/6/2016,"1,429,109","45,640"
Rockettes,12/7/2016,"1,365,610","72,886"
Rockettes,12/8/2016,"1,132,643","51,544"
Rockettes,12/9/2016,"1,568,765","34,670"
Rockettes,12/10/2016,"1,347,719","24,063"
Rockettes,12/11/2016,"1,022,677","29,497"
Rockettes,12/12/2016,"1,080,100","62,869"
Rockettes,12/13/2016,"1,282,029","94,648"
Rockettes,12/14/2016,"1,662,484","70,693"
Rockettes,12/15/2016,"1,390,723","76,437"
Rockettes,12/16/2016,"1,620,773","140,714"
Rockettes,12/17/2016,"1,618,952","42,039"
Rockettes,12/18/2016,"1,166,162","45,116"
Rockettes,12/19/2016,"1,203,311","63,595"
Rockettes,12/20/2016,"1,618,977","58,086"
Rockettes,12/21/2016,"1,792,673","43,476"
Rockettes,12/22/2016,"1,778,058","141,557"
Rockettes,12/23/2016,"831,822","293,125"
Rockettes,12/24/2016,"913,695","65,005"
Rockettes,12/25/2016,"997,014","36,947"
Rockettes,12/26/2016,"1,281,740","41,988"
Rockettes,12/27/2016,"1,837,479","94,284"
Rockettes,12/28/2016,"2,504,968","100,393"
Rockettes,12/29/2016,"4,740,160","90,001"
Rockettes,12/30/2016,"3,733,991","68,971"
Rockettes,12/31/2016,"2,091,412","46,527"
Rockettes,1/1/2017,"1,486,237","40,257"
Rockettes,1/2/2017,"1,190,480","46,253"
Rockettes,1/3/2017,"758,710","47,790"
Rockettes,1/4/2017,"649,847","31,651"
Rockettes,1/5/2017,"486,038","28,851"
Rockettes,1/6/2017,"619,575","25,641"
Rockettes,1/7/2017,"512,159","28,660"
Rockettes,1/8/2017,"238,782","28,662"
Rockettes,1/9/2017,"207,970","21,425"
Rockettes,1/10/2017,"276,725","17,612"
Rockettes,1/11/2017,"294,034","18,613"
Rockettes,1/12/2017,"278,832","18,803"
Rockettes,1/13/2017,"542,680","52,403"
Rockettes,1/14/2017,"633,883","28,486"
Rockettes,1/15/2017,"707,353","36,873"
Rockettes,1/16/2017,"935,542","44,255"
Rockettes,1/17/2017,"655,210","24,195"
Rockettes,1/18/2017,"793,202","21,055"
Rockettes,1/19/2017,"469,206","21,468"
Rockettes,1/20/2017,"219,220","32,894"
Rockettes,1/21/2017,"129,394","8,085"
Rockettes,1/22/2017,"98,421","9,309"
Rockettes,1/23/2017,"380,231","18,306"
Rockettes,1/24/2017,"332,190","14,935"
Rockettes,1/25/2017,"498,392","20,984"
Rockettes,1/26/2017,"681,922","30,732"
Rockettes,1/27/2017,"635,502","31,025"
Rockettes,1/28/2017,"712,625","19,975"
Rockettes,1/29/2017,"473,119","34,002"
Rockettes,1/30/2017,"426,790","26,903"
Rockettes,1/31/2017,"469,419","18,355"
Rockettes,2/1/2017,"371,261","15,847"
Rockettes,2/2/2017,"333,310","15,254"
Rockettes,2/3/2017,"529,798","20,560"
Rockettes,2/4/2017,"962,862","29,952"
Rockettes,2/5/2017,"698,183","42,071"
Rockettes,2/6/2017,"542,631","32,603"
Rockettes,2/7/2017,"506,484","35,767"
Rockettes,2/8/2017,"402,976","31,695"
Rockettes,2/9/2017,"339,412","28,773"
Rockettes,2/10/2017,"700,437","30,340"
Rockettes,2/11/2017,"682,396","38,440"
Rockettes,2/12/2017,"746,882","27,337"
Rockettes,2/13/2017,"601,265","27,798"
Rockettes,2/14/2017,"922,418","18,097"
Rockettes,2/15/2017,"803,354","24,581"
Rockettes,2/16/2017,"661,818","22,625"
Rockettes,2/17/2017,"1,261,889","22,994"
Rockettes,2/18/2017,"1,063,996","22,583"
Rockettes,2/19/2017,"733,981","23,457"
Rockettes,2/20/2017,"569,483","27,623"
Rockettes,2/21/2017,"1,244,111","19,041"
Rockettes,2/22/2017,"943,202","21,183"
Rockettes,2/23/2017,"660,830","60,667"
Rockettes,2/24/2017,"612,151","41,350"
Rockettes,2/25/2017,"409,411","29,220"
Rockettes,2/26/2017,"419,598","29,861"
Rockettes,2/27/2017,"436,434","29,490"
Rockettes,2/28/2017,"523,234","28,997"
Rockettes,3/1/2017,"442,720","26,239"
Rockettes,3/2/2017,"876,581","24,796"
Rockettes,3/3/2017,"763,009","27,821"
Rockettes,3/4/2017,"543,955","24,015"
Rockettes,3/5/2017,"580,398","26,010"
Rockettes,3/6/2017,"459,465","27,118"
Rockettes,3/7/2017,"421,048","28,669"
Rockettes,3/8/2017,"300,455","19,480"
Rockettes,3/9/2017,"232,348","22,677"
Rockettes,3/10/2017,"449,214","22,926"
Rockettes,3/11/2017,"512,736","18,918"
Rockettes,3/12/2017,"565,739","22,719"
Rockettes,3/13/2017,"413,089","19,648"
Rockettes,3/14/2017,"1,213,591","28,091"
Rockettes,3/15/2017,"832,428","31,128"
Rockettes,3/16/2017,"1,248,175","25,806"
Rockettes,3/17/2017,"691,985","24,675"
Rockettes,3/18/2017,"357,694","18,512"
Rockettes,3/19/2017,"444,373","19,276"
Rockettes,3/20/2017,"305,448","19,796"
Rockettes,3/21/2017,"718,273","20,814"
Rockettes,3/22/2017,"575,251","18,810"
Rockettes,3/23/2017,"388,309","26,595"
Rockettes,3/24/2017,"554,070","21,168"
Rockettes,3/25/2017,"361,567","20,952"
Rockettes,3/26/2017,"571,906","20,593"
Rockettes,3/27/2017,"376,403","19,533"
Rockettes,3/28/2017,"467,412","19,998"
Rockettes,3/29/2017,"365,815","22,210"
Rockettes,3/30/2017,"267,573","45,729"
Rockettes,3/31/2017,"524,685","28,954"
Rockettes,4/1/2017,"440,859","19,701"
Rockettes,4/2/2017,"322,137","17,123"
Rockettes,4/3/2017,"343,918","37,399"
Rockettes,4/4/2017,"790,621","21,840"
Rockettes,4/5/2017,"1,317,327","23,790"
Rockettes,4/6/2017,"1,288,015","21,532"
Rockettes,4/7/2017,"658,458","94,620"
Rockettes,4/8/2017,"376,342","42,745"
Rockettes,4/9/2017,"514,742","22,981"
Rockettes,4/10/2017,"455,411","26,770"
Rockettes,4/11/2017,"354,605","19,778"
Rockettes,4/12/2017,"292,575","20,108"
Rockettes,4/13/2017,"1,263,278","17,839"
Rockettes,4/14/2017,"624,429","19,861"
Rockettes,4/15/2017,"383,156","19,099"
Rockettes,4/16/2017,"365,809","19,456"
Rockettes,4/17/2017,"611,117","24,462"
Rockettes,4/18/2017,"955,159","24,370"
Rockettes,4/19/2017,"476,221","19,963"
Rockettes,4/20/2017,"303,306","18,062"
Rockettes,4/21/2017,"374,493","21,198"
Rockettes,4/22/2017,"357,846","15,758"
Rockettes,4/23/2017,"327,747","20,339"
Rockettes,4/24/2017,"218,709","34,933"
Rockettes,4/25/2017,"243,045","45,177"
Rockettes,4/26/2017,"209,779","36,153"
Rockettes,4/27/2017,"791,335","59,540"
Rockettes,4/28/2017,"659,382","51,605"
Rockettes,4/29/2017,"380,661","21,413"
Rockettes,4/30/2017,"301,670","23,201"
Rockettes,5/1/2017,"188,639","12,754"
Rockettes,5/2/2017,"203,599","11,653"
Rockettes,5/3/2017,"183,346","12,723"
Rockettes,5/4/2017,"362,350","22,406"
Rockettes,5/5/2017,"334,942","17,866"
Rockettes,5/6/2017,"293,673","15,444"
Rockettes,5/7/2017,"343,494","20,063"
Rockettes,5/8/2017,"217,675","18,507"
Rockettes,5/9/2017,"343,219","15,468"
Rockettes,5/10/2017,"296,513","15,001"
Rockettes,5/11/2017,"156,311","11,399"
Rockettes,5/12/2017,"480,697","18,273"
Rockettes,5/13/2017,"472,116","15,949"
Rockettes,5/14/2017,"252,429","24,820"
Rockettes,5/15/2017,"153,135","19,529"
Rockettes,5/16/2017,"437,531","18,967"
Rockettes,5/17/2017,"221,310","13,735"
Rockettes,5/18/2017,"451,956","14,290"
Rockettes,5/19/2017,"780,037","17,233"
Rockettes,5/20/2017,"416,578","14,621"
Rockettes,5/21/2017,"348,247","15,871"
Rockettes,5/22/2017,"349,889","17,508"
Rockettes,5/23/2017,"442,026","21,500"
Rockettes,5/24/2017,"328,187","10,743"
Rockettes,5/25/2017,"252,503","16,322"
Rockettes,5/26/2017,"179,546","16,754"
Rockettes,5/27/2017,"241,437","8,508"
Rockettes,5/28/2017,"529,565","13,487"
Rockettes,5/29/2017,"551,532","17,341"
Rockettes,5/30/2017,"272,747","20,365"
Rockettes,5/31/2017,"864,368","22,095"
Rockettes,6/1/2017,"422,036","12,654"
Rockettes,6/2/2017,"588,026","19,544"
Rockettes,6/3/2017,"517,923","9,866"
Rockettes,6/4/2017,"293,316","12,195"
Rockettes,6/5/2017,"234,092","19,705"
Rockettes,6/6/2017,"234,328","13,323"
Rockettes,6/7/2017,"353,956","13,986"
Rockettes,6/8/2017,"355,972","37,502"
Rockettes,6/9/2017,"418,327","35,774"
Rockettes,6/10/2017,"282,357","21,737"
Rockettes,6/11/2017,"506,674","136,405"
Rockettes,6/12/2017,"546,090","42,808"
Rockettes,6/13/2017,"362,131","32,584"
Rockettes,6/14/2017,"379,506","20,834"
Rockettes,6/15/2017,"362,245","23,687"
Rockettes,6/16/2017,"397,221","20,087"
Rockettes,6/17/2017,"676,808","35,838"
Rockettes,6/18/2017,"456,687","15,236"
Rockettes,6/19/2017,"317,232","17,953"
Rockettes,6/20/2017,"201,305","23,156"
Rockettes,6/21/2017,"169,650","19,609"
Rockettes,6/22/2017,"180,580","21,849"
Rockettes,6/23/2017,"254,204","19,701"
Rockettes,6/24/2017,"313,038","10,404"
Rockettes,6/25/2017,"277,711","11,852"
Rockettes,6/26/2017,"297,194","13,818"
Rockettes,6/27/2017,"283,704","15,144"
Rockettes,6/28/2017,"1,839,516","20,758"
Rockettes,6/29/2017,"1,284,701","13,156"
Rockettes,6/30/2017,"756,414","33,493"
Rockettes,7/1/2017,"546,687","13,922"
Rockettes,7/2/2017,"577,786","13,172"
Rockettes,7/3/2017,"752,885","15,572"
Rockettes,7/4/2017,"467,871","51,840"
Rockettes,7/5/2017,"402,350","20,803"
Rockettes,7/6/2017,"820,021","10,587"
Rockettes,7/7/2017,"377,095","12,080"
Rockettes,7/8/2017,"258,574","10,120"
Rockettes,7/9/2017,"596,953","10,465"
Rockettes,7/10/2017,"546,557","9,067"
Rockettes,7/11/2017,"798,787","8,162"
Rockettes,7/12/2017,"912,232","11,742"
Rockettes,7/13/2017,"1,093,664","12,470"
Rockettes,7/14/2017,"1,603,509","11,559"
Rockettes,7/15/2017,"1,242,088","10,610"
Rockettes,7/16/2017,"1,105,073","13,291"
Rockettes,7/17/2017,"423,097","14,974"
Rockettes,7/18/2017,"329,808","15,202"
Rockettes,7/19/2017,"262,968","10,621"
Rockettes,7/20/2017,"236,421","11,538"
Rockettes,7/21/2017,"852,408","12,992"
Rockettes,7/22/2017,"446,355","7,802"
Rockettes,7/23/2017,"158,890","9,204"
Rockettes,7/24/2017,"193,048","13,668"
Rockettes,7/25/2017,"129,422","15,699"
Rockettes,7/26/2017,"943,686","16,849"
Rockettes,7/27/2017,"1,082,429","13,859"
Rockettes,7/28/2017,"346,540","14,556"
Rockettes,7/29/2017,"391,823","23,801"
Rockettes,7/30/2017,"288,839","17,146"
Rockettes,7/31/2017,"228,901","16,525"
Rockettes,8/1/2017,"149,449","14,145"
Rockettes,8/2/2017,"132,395","14,024"
Rockettes,8/3/2017,"218,990","12,143"
Rockettes,8/4/2017,"167,356","8,595"
Rockettes,8/5/2017,"171,719","5,733"
Rockettes,8/6/2017,"186,633","8,183"
Rockettes,8/7/2017,"155,180","11,627"
Rockettes,8/8/2017,"205,739","10,405"
Rockettes,8/9/2017,"174,482","11,422"
Rockettes,8/10/2017,"210,981","18,311"
Rockettes,8/11/2017,"259,118","12,137"
Rockettes,8/12/2017,"181,446","10,732"
Rockettes,8/13/2017,"112,182","13,948"
Rockettes,8/14/2017,"267,059","31,002"
Rockettes,8/15/2017,"879,569","17,129"
Rockettes,8/16/2017,"746,511","18,023"
Rockettes,8/17/2017,"1,093,168","59,397"
Rockettes,8/18/2017,"526,001","14,340"
Rockettes,8/19/2017,"265,137","8,364"
Rockettes,8/20/2017,"117,258","10,421"
Rockettes,8/21/2017,"651,836","12,600"
Rockettes,8/22/2017,"798,059","45,418"
Rockettes,8/23/2017,"724,960","21,149"
Rockettes,8/24/2017,"468,077","14,065"
Rockettes,8/25/2017,"577,138","10,491"
Rockettes,8/26/2017,"349,560","12,922"
Rockettes,8/27/2017,"223,519","10,150"
Rockettes,8/28/2017,"624,901","11,226"
Rockettes,8/29/2017,"459,239","9,663"
Rockettes,8/30/2017,"319,643","8,688"
Rockettes,8/31/2017,"253,182","8,382"
Rockettes,9/1/2017,"750,725","9,048"
Rockettes,9/2/2017,"342,398","6,317"
Rockettes,9/3/2017,"201,153","5,592"
Rockettes,9/4/2017,"244,521","8,595"
Rockettes,9/5/2017,"315,699","9,060"
Rockettes,9/6/2017,"248,307","6,503"
Rockettes,9/7/2017,"170,470","7,673"
Rockettes,9/8/2017,"167,798","6,885"
Rockettes,9/9/2017,"190,409","6,885"
Rockettes,9/10/2017,"197,104","4,694"
Rockettes,9/11/2017,"419,145","7,132"
Rockettes,9/12/2017,"929,786","7,118"
Rockettes,9/13/2017,"861,594","6,941"
Rockettes,9/14/2017,"1,223,644","12,700"
Rockettes,9/15/2017,"1,641,987","14,684"
Rockettes,9/16/2017,"1,307,683","7,441"
Rockettes,9/17/2017,"978,838","6,672"
Rockettes,9/18/2017,"647,187","11,430"
Rockettes,9/19/2017,"827,267","8,246"
Rockettes,9/20/2017,"240,579","7,917"
Rockettes,9/21/2017,"123,895","8,051"
Rockettes,9/22/2017,"220,413","14,734"
Rockettes,9/23/2017,"216,492","10,455"
Rockettes,9/24/2017,"243,821","11,127"
Rockettes,9/25/2017,"185,581","14,028"
Rockettes,9/26/2017,"356,412","13,921"
Rockettes,9/27/2017,"257,594","12,244"
Rockettes,9/28/2017,"610,166","20,153"
Rockettes,9/29/2017,"1,254,329","16,976"
Rockettes,9/30/2017,"603,498","14,222"
Rockettes,10/1/2017,"352,344","10,410"
